Date,MXWD Index,LEGATRUU Index
2022-12-30,565.19681,445.9152
2023-01-02,568.71429,445.9152
2023-01-03,574.1098,447.2763
2023-01-04,576.15226,449.6396
2023-01-05,575.21016,447.1892
2023-01-06,580.37169,452.1156
2023-01-09,578.54372,455.3111
2023-01-10,580.98528,453.5124
2023-01-11,586.14683,455.8959
2023-01-12,584.41193,459.6868
2023-01-13,589.28325,460.764
2023-01-16,590.1462,460.2281
2023-01-17,591.77444,460.5765
2023-01-18,586.80113,464.0637
2023-01-19,580.18796,462.6066
2023-01-20,586.86721,460.7811
2023-01-23,591.61898,460.3713
2023-01-24,590.7014,461.958
2023-01-25,590.16901,462.8302
2023-01-26,596.71836,461.142
2023-01-27,598.08724,460.6262
2023-01-30,593.06861,459.9795
2023-01-31,596.74671,460.5541
2023-02-01,599.85167,463.1692
2023-02-02,607.14722,466.6737
2023-02-03,606.24231,461.4615
2023-02-06,605.73901,456.3733
2023-02-07,608.26633,456.0692
2023-02-08,606.90688,456.5883
2023-02-09,603.78714,456.8804
2023-02-10,606.36727,453.9353
2023-02-13,608.56102,454.2133
2023-02-14,608.53803,453.1787
2023-02-15,611.94197,450.7764
2023-02-16,606.07818,449.7371
2023-02-17,604.01348,449.6115
2023-02-20,604.656,450.2478
2023-02-21,597.10196,447.2791
2023-02-22,596.23184,446.9948
2023-02-23,600.30978,447.5171
2023-02-24,595.42979,444.2571
2023-02-27,594.95416,444.9915
2023-02-28,593.08212,445.2434
