Date,Ptf_rdt,Ptf_rdt_cum,Valeur_Ptf,Volatilite_glissante,vol_ewma,"VaR Norm(95%, 1Y)"
2022-07-27,0.011003518494612388,0.7700635977318621,1155095.396597793,,0.11500574389341454,-0.189167614963335
2022-07-28,0.010289866253984876,0.7779874491595854,1166981.173739378,,0.11977575759324975,-0.19701358929811716
2022-07-29,-0.001805318019459629,0.7765829343987042,1164874.4015980563,,0.11613396246099995,-0.19102336936622186
2022-08-01,0.002121090077732525,0.7782301367553937,1167345.2051330905,,0.11289647139523325,-0.1856981704444725
2022-08-02,0.019349118489886262,0.7932882038838741,1189932.305825811,,0.11220871707017532,-0.18456691524844943
2022-08-03,0.008287943682290688,0.7998629318414892,1199794.3977622336,,0.1092014936045722,-0.17962047282399854
2022-08-04,-0.0035398518634777456,0.7970315355516833,1195547.3033275248,,0.106664184622007,-0.17544697094132963
2022-08-05,-0.009565457427141821,0.7894075643302743,1184111.3464954114,,0.10477954749116829,-0.17234701872118216
2022-08-08,-0.02374259865115443,0.7706649773581952,1155997.4660372927,,0.10527391570919663,-0.17316018207765563
2022-08-09,0.017956579004094232,0.7845034839098162,1176755.2258647243,,0.10403353116096753,-0.17111993105468642
2022-08-10,0.007026164188919455,0.790015534194546,1185023.301291819,,0.10214757814357497,-0.1680178143937682
2022-08-11,0.01833381755369904,0.8044995348630569,1206749.3022945854,,0.10293977752398635,-0.16932086641790656
2022-08-12,0.007618700266597707,0.8106287756837959,1215943.1635256938,,0.09980381716443623,-0.1641626706465245
2022-08-15,0.003480758693977292,0.8134503788423455,1220175.5682635182,,0.099703928597173,-0.1639983685743706
2022-08-16,-0.01546338312401468,0.8008716839819314,1201307.5259728972,,0.09841828195372455,-0.16188366802991644
2022-08-17,0.008827851023812734,0.8079416598973139,1211912.4898459709,,0.09546870122325411,-0.15703203946741595
2022-08-18,-0.016534805792764413,0.7945825014590281,1191873.7521885422,,0.09411157854269225,-0.15479977130407568
2022-08-19,-0.02017701649113284,0.7785501972235237,1167825.2958352854,,0.09775285481486949,-0.16078913778709875
2022-08-22,-0.003826695546945694,0.7755709226507348,1163356.383976102,,0.09626579883887464,-0.15834314837150373
2022-08-23,0.005372367268391635,0.7797375744898999,1169606.3617348499,,0.09333962103971798,-0.15353001420545603
2022-08-24,0.01736431263588392,0.7932771815072884,1189915.7722609327,,0.09383856566275502,-0.15435070507830645
2022-08-25,-0.03202024667771055,0.7678762504716261,1151814.3757074391,,0.09731397284144724,-0.16006724118131155
2022-08-26,-0.02158586656861392,0.7513009761877381,1126951.4642816072,,0.11082402736722743,-0.18228930336835322
2022-08-29,-0.009010054243275136,0.744531713639261,1116797.5704588913,,0.10789979065810927,-0.17747936201129558
2022-08-30,-0.012466684565087292,0.7352498716166164,1102874.8074249246,,0.10840796596109474,-0.1783152360015384
2022-08-31,-0.02186897408118375,0.7191707112310389,1078756.0668465584,,0.1104961070315854,-0.18174992241492127
2022-09-01,-0.0007932154282205626,0.7186002539273662,1077900.3808910493,,0.1071776445238253,-0.17629153732312963
2022-09-02,-0.003924981503038477,0.7157797612226225,1073669.6418339338,,0.10398640270704586,-0.17104241164632075
2022-09-05,-0.0003855299088413894,0.7155038067165278,1073255.7100747917,,0.10086659163349294,-0.16591077908658386
2022-09-06,0.0013437191743508182,0.7164652429009338,1074697.8643514006,,0.0978069156618413,-0.16087805996731638
2022-09-07,0.009400848359824208,0.7232006240045301,1084800.9360067951,,0.09744030491640435,-0.16027503895300504
2022-09-08,0.01706825534535979,0.735544396920963,1103316.5953814446,,0.10251631286977057,-0.16862432904553398
2022-09-09,0.00783523390131937,0.7413075593156436,1111961.3389734654,,0.10553321042848475,-0.17358668393712604
2022-09-12,-0.0333719651141287,0.7165686693073221,1074853.0039609831,,0.1109461342992927,-0.18249015139843672
2022-09-13,-0.007072246164495255,0.711500919284216,1067251.378926324,,0.11024469903339679,-0.18133639305725613
2022-09-14,-0.008104527865736821,0.7057345402573797,1058601.8103860696,,0.10815438641947309,-0.17789813477278132
2022-09-15,-0.012763699616578075,0.6967267565764906,1045090.134864736,,0.12193661879540942,-0.20056788968382822
2022-09-16,0.0032051083729220174,0.6989598413376328,1048439.7620064492,,0.11842079708033955,-0.19478487758408078
2022-09-19,-0.006991240385127405,0.6940732450672908,1041109.8676009362,,0.11735259817242032,-0.19302784673608425
2022-09-20,0.005845384023622678,0.6981303697252312,1047195.5545878469,,0.11421957613463875,-0.18787448407392032
2022-09-21,-0.024648267563369713,0.6809226655781295,1021383.9983671943,,0.11530016440587428,-0.18965189361110332
2022-09-22,-0.006269465507356324,0.6766536444131104,1014980.4666196656,,0.12306352355906097,-0.20242148307154936
2022-09-23,0.004414305524316535,0.679640600333692,1019460.9005005381,,0.11937471598889252,-0.19635393456063172
2022-09-26,0.006188261430146641,0.6838463940470988,1025769.5910706482,,0.11617681066510875,-0.19109384839015858
2022-09-27,0.007261067337019256,0.6888118487624526,1033217.7731436789,,0.11391197941183587,-0.18736853248877963
2022-09-28,-0.026304787266639082,0.670692799614016,1006039.199421024,,0.11970409293945757,-0.19689571143240286
2022-09-29,0.0006916741767388479,0.6711567005040336,1006735.0507560505,,0.11609497901388778,-0.19095924730184835
2022-09-30,0.007467884122898952,0.676168820971705,1014253.2314575575,,0.11635439779373397,-0.19138595322277765
2022-10-03,0.028517569890297217,0.6954515125814056,1043177.2688721084,,0.13756481073516127,-0.2262739778786228
